"nrow","nlevels","successes","trials","mean","lower","upper"
64,8,16,200,0.08,0.0464176083998226,0.126664856022082
80,10,20,200,0.1,0.062159366254066,0.150212787867756
96,12,34,200,0.17,0.120695623236217,0.229371600393886
112,14,33,200,0.165,0.116383119958054,0.223843467711821
128,16,40,200,0.2,0.146894488215759,0.2622263645896
144,18,44,200,0.22,0.164636061311784,0.283861247313508
160,20,40,200,0.2,0.146894488215759,0.2622263645896
192,24,46,200,0.23,0.17358086280159,0.294606394565981
224,28,57,200,0.285,0.223554398010684,0.35294269975154
256,32,61,200,0.305,0.242019437023591,0.37386780453377
